Company,Code
동국제약,A086450
케이프,A064820
상신이디피,A091580
한라IMS,A092460
에프알텍,A073540
이엠텍,A091120
참좋은여행,A094850
코닉글로리,A094860
이베스트투자증권,A078020
매커스,A093520
오스템임플란트,A048260
나노캠텍,A091970
네오팜,A092730
비에이치,A090460
오스코텍,A039200
켐트로닉스,A089010
제이스텍,A090470
동아엘텍,A088130
휴온스글로벌,A084110
케이씨티,A089150
파트론,A091700
유니테스트,A086390
휴림로봇,A090710
에스에이티,A060540
큐에스아이,A066310
멀티캠퍼스,A067280
이노와이즈,A086250
코세스,A089890
성창오토텍,A080470
넥스턴,A089140
제이티,A089790
광진윈텍,A090150
이녹스,A088390
THE E&M,A089230
바텍,A043150
한컴MDS,A086960
루멘스,A038060
CSA 코스믹,A083660
티엘아이,A062860
한국전자금융,A063570
쇼박스,A086980
팬엔터테인먼트,A068050
루트로닉,A085370
인포뱅크,A039290
아이오케이,A078860
동우팜투테이블,A088910
제이브이엠,A054950
팅크웨어,A084730
진바이오텍,A086060
정산애강,A022220
에이스테크,A088800
셀트리온제약,A068760
GST,A083450
에너토크,A019990
제우스,A079370
한일네트웍스,A046110
뉴프렉스,A085670
유진테크,A084370
크리스탈,A083790
바이오니아,A064550
헬릭스미스,A084990
인콘,A083640
차바이오텍,A085660
대봉엘에스,A078140
와이엔텍,A067900
케이엠,A083550
수성,A084180
한국코퍼레이션,A050540
모다이노칩,A080420
비에이치아이,A083650
EMW,A079190
GV,A045890
루미마이크로,A082800
자연과환경,A043910
와토스코리아,A079000
인프라웨어,A041020
두올산업,A078590
서린바이오,A038070
가비아,A079940
덕산하이메탈,A077360
아바코,A083930
하나마이크론,A067310
엘오티베큠,A083310
코스나인,A082660
이상네트웍스,A080010
아리온,A058220
메디포스트,A078160
우리바이오,A082850
모두투어,A080160
가온미디어,A078890
쏠리드,A050890
옵트론텍,A082210
젬백스,A082270
플랜티넷,A075130
에스제이케이,A080440
이노와이어리스,A073490
인베니아,A079950
동양이엔피,A079960
제주반도체,A080220
한창산업,A079170
디이엔티,A079810
에스엔유,A080000
iMBC,A052220
서산,A079650
KMH하이텍,A052900
손오공,A066910
미래컴퍼니,A049950
아이크래프트,A052460
메가스터디,A072870
케이에스피,A073010
KG모빌리언스,A046440
대주전자재료,A078600
텔레칩스,A054450
HB테크놀러지,A078150
도이치모터스,A067990
토비스,A051360
제넨바이오,A072520
국일제지,A078130
DMS,A068790
코드네이처,A078940
시너지이노베이션,A048870
신성델타테크,A065350
한국경제TV,A039340
다날,A064260
형지I&C,A011080
휘닉스소재,A050090
코엔텍,A029960
YBM넷,A057030
CS,A065770
아미노로직스,A074430
테라젠이텍스,A066700
디에이피,A066900
한양디지텍,A078350
동국알앤에스,A075970
라이트론,A069540
듀오백,A073190
삼진엘앤디,A054090
에스텍파마,A041910
에스모,A073070
한류타임즈,A039670
세진티에스,A067770
한솔인티큐브,A070590
WI,A073570
삼원테크,A073640
우주일렉트로,A065680
필로시스헬스케어,A057880
드림어스컴퍼니,A060570
버킷스튜디오,A066410
아프리카TV,A067160
원익QnC,A074600
로체시스템즈,A071280
에버다임,A041440
